region,technology,capacity.factor
Europe_Eastern,geothermal,0.9
Europe_Non_EU,wind,0.37
Europe_Non_EU,wind_storage,0.37
Europe_Non_EU,rooftop_pv,0.219534769
Europe_Non_EU,CSP,0.279812997
Europe_Non_EU,CSP_storage,0.727513793
Europe_Non_EU,PV,0.219534769
Europe_Non_EU,PV_storage,0.219534769
Europe_Non_EU,coal (conv pul),0.85
Europe_Non_EU,coal (conv pul CCS),0.8
Europe_Non_EU,coal (IGCC),0.8
Europe_Non_EU,coal (IGCC CCS),0.8
Europe_Non_EU,gas (steam/CT),0.8
Europe_Non_EU,gas (CC),0.85
Europe_Non_EU,gas (CC CCS),0.8
Europe_Non_EU,refined liquids (steam/CT),0.8
Europe_Non_EU,refined liquids (CC),0.85
Europe_Non_EU,refined liquids (CC CCS),0.8
Europe_Non_EU,biomass (conv),0.85
Europe_Non_EU,biomass (conv CCS),0.8
Europe_Non_EU,biomass (IGCC),0.8
Europe_Non_EU,biomass (IGCC CCS),0.8
Europe_Non_EU,Gen_II_LWR,0.9
Europe_Non_EU,Gen_III,0.9
Europe_Non_EU,geothermal,0.9
European Free Trade Association,wind,0.38
European Free Trade Association,wind_storage,0.38
European Free Trade Association,rooftop_pv,0.109905752
European Free Trade Association,CSP,2.5e-4
European Free Trade Association,CSP_storage,6.5e-4
European Free Trade Association,PV,0.109905752
European Free Trade Association,PV_storage,0.109905752
European Free Trade Association,coal (conv pul),0.85
European Free Trade Association,coal (conv pul CCS),0.8
European Free Trade Association,coal (IGCC),0.8
European Free Trade Association,coal (IGCC CCS),0.8
European Free Trade Association,gas (steam/CT),0.8
European Free Trade Association,gas (CC),0.85
European Free Trade Association,gas (CC CCS),0.8
European Free Trade Association,refined liquids (steam/CT),0.8
European Free Trade Association,refined liquids (CC),0.85
European Free Trade Association,refined liquids (CC CCS),0.8
European Free Trade Association,biomass (conv),0.85
European Free Trade Association,biomass (conv CCS),0.8
European Free Trade Association,biomass (IGCC),0.8
European Free Trade Association,biomass (IGCC CCS),0.8
European Free Trade Association,Gen_II_LWR,0.9
European Free Trade Association,Gen_III,0.9
European Free Trade Association,geothermal,0.9
India,wind,0.36
India,wind_storage,0.36
India,rooftop_pv,0.247360719
India,CSP,0.281168953
India,CSP_storage,0.731039279
India,PV,0.247360719
India,PV_storage,0.247360719
India,coal (conv pul),0.85
India,coal (conv pul CCS),0.8
India,coal (IGCC),0.8
India,coal (IGCC CCS),0.8
India,gas (steam/CT),0.8
India,gas (CC),0.85
India,gas (CC CCS),0.8
India,refined liquids (steam/CT),0.8
India,refined liquids (CC),0.85
India,refined liquids (CC CCS),0.8
India,biomass (conv),0.85
India,biomass (conv CCS),0.8
India,biomass (IGCC),0.8
India,biomass (IGCC CCS),0.8
India,Gen_II_LWR,0.9
India,Gen_III,0.9
India,geothermal,0.9
Indonesia,wind,0.34
Indonesia,wind_storage,0.34
Indonesia,rooftop_pv,0.231764576
Indonesia,CSP,0.333299229
Indonesia,CSP_storage,0.85
Indonesia,PV,0.231764576
Indonesia,PV_storage,0.231764576
Indonesia,coal (conv pul),0.85
Indonesia,coal (conv pul CCS),0.8
Indonesia,coal (IGCC),0.8
Indonesia,coal (IGCC CCS),0.8
Indonesia,gas (steam/CT),0.8
Indonesia,gas (CC),0.85
Indonesia,gas (CC CCS),0.8
Indonesia,refined liquids (steam/CT),0.8
Indonesia,refined liquids (CC),0.85
Indonesia,refined liquids (CC CCS),0.8
Indonesia,biomass (conv),0.85
Indonesia,biomass (conv CCS),0.8
Indonesia,biomass (IGCC),0.8
Indonesia,biomass (IGCC CCS),0.8
Indonesia,Gen_II_LWR,0.9
Indonesia,Gen_III,0.9
Indonesia,geothermal,0.9
Japan,wind,0.39
Japan,wind_storage,0.39
Japan,rooftop_pv,0.18912206
Japan,CSP,0.384107543
Japan,CSP_storage,0.85
Japan,PV,0.18912206
Japan,PV_storage,0.18912206
Japan,coal (conv pul),0.85
Japan,coal (conv pul CCS),0.8
Japan,coal (IGCC),0.8
Japan,coal (IGCC CCS),0.8
Japan,gas (steam/CT),0.8
Japan,gas (CC),0.85
Japan,gas (CC CCS),0.8
Japan,refined liquids (steam/CT),0.8
Japan,refined liquids (CC),0.85
Japan,refined liquids (CC CCS),0.8
Japan,biomass (conv),0.85
Japan,biomass (conv CCS),0.8
Japan,biomass (IGCC),0.8
Japan,biomass (IGCC CCS),0.8
Japan,Gen_II_LWR,0.9
Japan,Gen_III,0.9
Japan,geothermal,0.9
Mexico,wind,0.39
Mexico,wind_storage,0.39
Mexico,rooftop_pv,0.268432483
Mexico,CSP,0.25294355
Mexico,CSP_storage,0.65765323
Mexico,PV,0.268432483
Mexico,PV_storage,0.268432483
Mexico,coal (conv pul),0.85
Mexico,coal (conv pul CCS),0.8
Mexico,coal (IGCC),0.8
Mexico,coal (IGCC CCS),0.8
Mexico,gas (steam/CT),0.8
Mexico,gas (CC),0.85
Mexico,gas (CC CCS),0.8
Mexico,refined liquids (steam/CT),0.8
Mexico,refined liquids (CC),0.85
Mexico,refined liquids (CC CCS),0.8
Mexico,biomass (conv),0.85
Mexico,biomass (conv CCS),0.8
Mexico,biomass (IGCC),0.8
Mexico,biomass (IGCC CCS),0.8
Mexico,Gen_II_LWR,0.9
Mexico,Gen_III,0.9
Mexico,geothermal,0.9
Middle East,wind,0.36
Middle East,wind_storage,0.36
Middle East,rooftop_pv,0.27372128
Middle East,CSP,0.238139042
Middle East,CSP_storage,0.61916151
Middle East,PV,0.27372128
Middle East,PV_storage,0.27372128
Middle East,coal (conv pul),0.85
Middle East,coal (conv pul CCS),0.8
Middle East,coal (IGCC),0.8
Middle East,coal (IGCC CCS),0.8
Middle East,gas (steam/CT),0.8
Middle East,gas (CC),0.85
Middle East,gas (CC CCS),0.8
Middle East,refined liquids (steam/CT),0.8
Middle East,refined liquids (CC),0.85
Middle East,refined liquids (CC CCS),0.8
Middle East,biomass (conv),0.85
Middle East,biomass (conv CCS),0.8
Middle East,biomass (IGCC),0.8
Middle East,biomass (IGCC CCS),0.8
Middle East,Gen_II_LWR,0.9
Middle East,Gen_III,0.9
Middle East,geothermal,0.9
Pakistan,wind,0.36
Pakistan,wind_storage,0.36
Pakistan,rooftop_pv,0.259618517
Pakistan,CSP,0.267051929
Pakistan,CSP_storage,0.69433501500000006
Pakistan,PV,0.259618517
Pakistan,PV_storage,0.259618517
Pakistan,coal (conv pul),0.85
Pakistan,coal (conv pul CCS),0.8
Pakistan,coal (IGCC),0.8
Pakistan,coal (IGCC CCS),0.8
Pakistan,gas (steam/CT),0.8
Pakistan,gas (CC),0.85
Pakistan,gas (CC CCS),0.8
Pakistan,refined liquids (steam/CT),0.8
Pakistan,refined liquids (CC),0.85
Pakistan,refined liquids (CC CCS),0.8
Pakistan,biomass (conv),0.85
Pakistan,biomass (conv CCS),0.8
Pakistan,biomass (IGCC),0.8
Pakistan,biomass (IGCC CCS),0.8
Pakistan,Gen_II_LWR,0.9
Pakistan,Gen_III,0.9
Pakistan,geothermal,0.9
Russia,wind,0.38
Russia,wind_storage,0.38
Russia,rooftop_pv,0.130216352
Russia,CSP,0.37545867
Russia,CSP_storage,0.85
Russia,PV,0.130216352
Russia,PV_storage,0.130216352
Russia,coal (conv pul),0.85
Russia,coal (conv pul CCS),0.8
Russia,coal (IGCC),0.8
Russia,coal (IGCC CCS),0.8
Russia,gas (steam/CT),0.8
Russia,gas (CC),0.85
Russia,gas (CC CCS),0.8
Russia,refined liquids (steam/CT),0.8
Russia,refined liquids (CC),0.85
Russia,refined liquids (CC CCS),0.8
Russia,biomass (conv),0.85
Russia,biomass (conv CCS),0.8
Russia,biomass (IGCC),0.8
